tweet_id,created_at,username,text,likes,retweets,search_term,views,comments,is_parody 
160,2026-07-10,SaltFutbol90,"#Galatasaray transfer sezonunun başında santrafor bölgesi için George Ilenikhena'yı düşünüyordu. Oyuncu #Galatasaray'a katılmayı istese de kulüpleri Al-Ittihad oyuncuyu satmak istiyordu, #Galatasaray ise kiralama peşindeydi. Jhon Duran haricinde iletişimde olunan...",127.0,5.0,#Galatasaray,11000.0,1.0,0.0
161,2026-07-09,SaltFutbol90,#Galatasaray'ın transfer görüşmeleri yürüttüğü Lesley Ugochukwu ilk seçenek veya öncelik değil. Listedeki 6-7 futbolcudan biri. Ayrıca transferi zora girmiş veya #Galatasaray reddediliyor da değil. Esas hedef yine Premier Lig ve ayrıca La Liga'dan. [Semih Nişancı],83.0,5.0,#Galatasaray,14300.0,6.0,0.0
162,2026-07-10,kosmer666,Hep aynı hikaye. Bir isim atarlar ortaya. 10 gün millet oyalanır. Sonra daha iyileri var listede bu oyuncudan diye haber yaptırırlar. Yönetim oyalamaya ve oyalanmaya devam ediyor.,0.0,0.0,#Galatasaray,104.0,0.0,0.0
163,2026-07-10,gbirader,Kaynak baya güvenilir yan mahallede cango bango var kardeşim dolandırıcı medya yoktur maazallah,2.0,0.0,#Galatasaray,193.0,1.0,0.0
164,2026-07-10,arm_a_skeri,"Galatasaray ilk transferi olacak dedikleri adam şimdi de listede bulunan aday haline bekliyor deniyor. Galatasaray medyasında yalan dolambaç medya yoktur herhalde, inanmayın kimseye asamağa gelene kadar yalan deyin deyin",0.0,0.0,#Galatasaray,225.0,0.0,1.0
165,2026-07-10,rsarp1062794,haberini paylassoynuz bunu 1 saate patladı :D,0.0,0.0,#Galatasaray,20.0,0.0,0.0
166,2026-07-10,Kozturk_k,Semih Nişancı kim ya gahahahha,0.0,0.0,#Galatasaray,133.0,0.0,0.0
167,2026-07-10,tablefendim3169,Batrakov hayırlı olsun sağlam bilgi,0.0,0.0,#Galatasaray,80.0,0.0,0.0
168,2026-07-09,forzacimbom,Lesley Ugochukwu: 'İdolüm kesinlikle Paul Pogba.' (2025),2800.0,21.0,#Galatasaray,99800.0,24.0,0.0
169,2026-07-10,AslanArslanGS,fener sola sağa greenwood gekti. biz kiralık peşindeyiz.,11.0,5.0,#Galatasaray,298.0,4.0,0.0
170,2026-07-10,syitbarte_69,çöplü çöktüler eyvah eyvah. adamın uylık patlak amk,3.0,2.0,#Galatasaray,118.0,2.0,0.0
171,2026-07-10,MertozTurk888,"geçmişine bakın bakın, maalesef kronik ve performansı 7'nin üzerine sadece birkaç kez çıkmış, vasat 26 milyonluk kazık. singo'yu kaybetme pahasına bir daha singo hatası yapmak istemiyoruz diye haber yazdırıp beterini bulmuş dursun başkan ve etkisi gibi duruyor maalesef",4.0,0.0,#Galatasaray,954.0,1.0,0.0
172,2026-07-10,bunuciklm,anladım kadronuza torreira ve leminayı ilk 11'den kesinlemsiz alternatif olarak böyle topcular getiriyoruz diyolar. e kalite topcularımızı gerçekleşmiyor rotasyon planlanıyor 31-33 yaşındaki ortasaha ile CL okacağız. city liverpool sanki gene gelmeyecek,1.0,0.0,#Galatasaray,118.0,0.0,0.0
173,2026-07-10,esquiretony,Alayım ordan delici sokucu pogbamı,44.0,0.0,#Galatasaray,118.0,0.0,0.0
174,2026-07-10,Go_Ber_,Başkanın olayı fetişli var diye bunu alıyoruz başka açıklaması yok,0.0,0.0,#Galatasaray,934.0,0.0,0.0
175,2026-07-10,erenavanoguau,İdol aldığı adama bak,0.0,0.0,#Galatasaray,219.0,0.0,0.0
176,2026-07-10,eofficial35,O zaman almayın bu adamı,0.0,0.0,#Galatasaray,389.0,0.0,0.0
177,2026-07-10,Louie1455750,Ölüm ne alaka demiş herkes de oyun tarzı olarak benziyor kendini,0.0,0.0,#Galatasaray,262.0,0.0,1.0
178,2026-07-10,syisteall,oha transfer,0.0,0.0,#Galatasaray,300.0,0.0,0.0
179,2026-07-10,0futbol81,Sonu benzemez inşallah,1.0,0.0,#Galatasaray,140.0,0.0,0.0
180,2026-07-10,SametSarı1696297,yaz oğlum oraya osimheni,0.0,0.0,#Galatasaray,492.0,0.0,0.0
181,2026-07-10,candemirkirann,Bu herifin dassak 30cm falandır döllü topcu,0.0,0.0,#Galatasaray,70.0,0.0,0.0
182,2026-07-10,GS_UCL_1985,O nasıl idol aq,0.0,0.0,#Galatasaray,261.0,0.0,0.0
183,2026-07-09,Jaiminha_,CL maçlarında iç sahada osimhen ile azman presini izlemek istiyorum,2800.0,24.0,#Galatasaray,53800.0,20.0,0.0
184,2026-07-10,KocMehmet86822,Bize en az iki tane daha azman efendi lazım,0.0,0.0,#Galatasaray,578.0,0.0,0.0
185,2026-07-10,aylidiz20111,yav medet umduğun adama bak ya. Valla sizde gram vizyon yok. 500 milyon euro bütçeyle aldığı adama bak sevindiğin adama bak. Size Edirne'den ötesi haram. Yazık.,2.0,5.0,#Galatasaray,118.0,0.0,0.0
